Order_ID,Customer_ID,Product_ID,Quantity,Order_Date,Order_Time,Delivery_Date,Delivery_Time,Location,Occasion,Hour(Order_time),Hour(Delivery_time),Order_month,Delivery_month,Price (INR),Total Revenue,Diff_order_delivery,Day_name(order_date),Day_name(delivery_date)
26,C040,6,3,44991,0.210486111,44997,0.254293981,Amroha,Holi,5,6,March,March,1112,3336,6,Monday,Sunday
62,C074,6,4,44987,0.646423611,44991,0.994212963,Jorhat,Holi,15,23,March,March,1112,4448,4,Thursday,Monday
32,C065,7,5,44989,0.650474537,44990,0.662615741,Pudukkottai,Holi,15,15,March,March,409,2045,1,Saturday,Sunday
35,C055,7,5,44987,0.673912037,44990,0.625462963,Asansol,Holi,16,15,March,March,409,2045,3,Thursday,Sunday
11,C065,16,4,44987,0.84369213,44988,0.972071759,Belgaum,Holi,20,23,March,March,1721,6884,1,Thursday,Friday
19,C072,62,4,44992,0.333194444,44993,0.128171296,Vijayanagaram,Holi,7,3,March,March,1356,5424,1,Tuesday,Wednesday
36,C029,66,1,44989,0.436724537,44999,0.343622685,New Delhi,Holi,10,8,March,March,610,610,10,Saturday,Tuesday
72,C058,26,3,44988,0.659328704,44997,0.732060185,Bally,Holi,15,17,March,March,289,867,9,Friday,Sunday
73,C057,26,1,44988,0.536527778,44996,0.061527778,Farrukhabad,Holi,12,1,March,March,289,289,8,Friday,Saturday
84,C032,47,1,44989,0.147106481,44991,0.293287037,Tirupati,Holi,3,7,March,March,1638,1638,2,Saturday,Monday
85,C041,26,2,44989,0.899537037,44999,0.616921296,Agra,Holi,21,14,March,March,289,578,10,Saturday,Tuesday
94,C099,69,5,44987,0.618842593,44996,0.343622685,Purnia,Holi,14,8,March,March,998,4990,9,Thursday,Saturday
110,C075,26,2,44989,0.474814815,44998,0.35244213,Kishanganj,Holi,11,8,March,March,289,578,9,Saturday,Monday
119,C010,6,4,44989,0.459837963,44997,0.515486111,Fatehpur,Holi,11,12,March,March,1112,4448,8,Saturday,Sunday
134,C036,69,5,44990,0.800532407,44999,0.207280093,Malda,Holi,19,4,March,March,998,4990,9,Sunday,Tuesday
137,C070,47,2,44990,0.671111111,44996,0.312048611,Warangal,Holi,16,7,March,March,1638,3276,6,Sunday,Saturday
140,C015,47,1,44989,0.263599537,44998,0.895543981,Bharatpur,Holi,6,21,March,March,1638,1638,9,Saturday,Monday
153,C094,16,4,44989,0.510416667,44995,0.253275463,Rewa,Holi,12,6,March,March,1721,6884,6,Saturday,Friday
158,C007,35,2,44988,0.652974537,44993,0.120150463,Medininagar,Holi,15,2,March,March,1865,3730,5,Friday,Wednesday
168,C092,35,2,44989,0.650034722,44992,0.460208333,Bidar,Holi,15,11,March,March,1865,3730,3,Saturday,Tuesday
172,C070,62,4,44988,0.194490741,44993,0.217210648,Patiala,Holi,4,5,March,March,1356,5424,5,Friday,Wednesday
177,C085,62,4,44990,0.075833333,44992,0.618541667,Satara,Holi,1,14,March,March,1356,5424,2,Sunday,Tuesday
207,C078,6,2,44990,0.05087963,44992,0.511064815,Amravati,Holi,1,12,March,March,1112,2224,2,Sunday,Tuesday
214,C099,13,3,44986,0.326331019,44992,0.352372685,Durgapur,Holi,7,8,March,March,1141,3423,6,Wednesday,Tuesday
219,C027,16,5,44990,0.025081019,44996,0.441724537,Bhimavaram,Holi,0,10,March,March,1721,8605,6,Sunday,Saturday
220,C001,26,3,44991,0.518680556,45000,0.612407407,Jalandhar,Holi,12,14,March,March,289,867,9,Monday,Wednesday
238,C083,26,4,44990,0.331053241,44996,0.846030093,Jammu,Holi,7,20,March,March,289,1156,6,Sunday,Saturday
245,C020,50,3,44990,0.267662037,44996,0.396180556,Noida,Holi,6,9,March,March,422,1266,6,Sunday,Saturday
259,C001,62,1,44990,0.640208333,44995,0.002789352,Sirsa,Holi,15,0,March,March,1356,1356,5,Sunday,Friday
260,C100,69,5,44991,0.545960648,45001,0.932291667,Satara,Holi,13,22,March,March,998,4990,10,Monday,Thursday
267,C055,35,3,44989,0.568715278,44997,0.161111111,Chandrapur,Holi,13,3,March,March,1865,5595,8,Saturday,Sunday
275,C028,29,1,44987,0.176238426,44990,0.053923611,Ranchi,Holi,4,1,March,March,1252,1252,3,Thursday,Sunday
286,C098,50,3,44991,0.837268519,44997,0.112118056,Mango,Holi,20,2,March,March,422,1266,6,Monday,Sunday
287,C011,7,5,44988,0.204212963,44991,0.652743056,Muzaffarnagar,Holi,4,15,March,March,409,2045,3,Friday,Monday
290,C079,69,3,44991,0.435625,44995,0.606643519,Alwar,Holi,10,14,March,March,998,2994,4,Monday,Friday
294,C047,26,5,44986,0.877986111,44988,0.822847222,Nagpur,Holi,21,19,March,March,289,1445,2,Wednesday,Friday
